category,company,domain
Defense,Saab,saabgroup.com
Defense,SAIC,saic.com
Defense,Saronic,saronic.com
Defense,Shield AI,shield.ai
Defense,Skydio,skydio.com
Defense,Textron Systems,textron.com
Defense,Thales Group,thalesgroup.com
Defense,Vannevar Labs,vannevarlabs.com
Distribution,Allied Electronics & Automation,alliedelec.com
Distribution,Arrow Electronics,arrow.com
Distribution,Avnet,avnet.com
Distribution,Digi-Key,digikey.com
Distribution,Future Electronics,futureelectronics.com
Distribution,Heilind Electronics,heilind.com
Distribution,Macnica,macnica.com
Distribution,Master Electronics,masterelectronics.com
Distribution,Mouser Electronics,mouser.com
Distribution,Newark / Farnell,farnell.com
Distribution,RS Group,rsgroup.com
Distribution,Rutronik,rutronik.com
Distribution,Sager Electronics,sager.com
Distribution,TTI Inc,ttiinc.com
Distribution,WPG Holdings,wpgholdings.com
Distribution,WT Microelectronics,wtmec.com
EMS,Celestica,celestica.com
EMS,Flex,flex.com
EMS,Foxconn,foxconn.com
EMS,Jabil,jabil.com
EMS,Pegatron,pegatron.com
EMS,Sanmina,sanmina.com
EMS,Wistron,wistron.com
Energy,Bloom Energy,bloomenergy.com
Energy,ChargePoint,chargepoint.com
Energy,Enphase Energy,enphase.com
Energy,First Solar,firstsolar.com
Energy,Fluence Energy,fluenceenergy.com
Energy,GE Vernova,gevernova.com
Energy,Generac,generac.com
Energy,Siemens Energy,siemens-energy.com
Energy,SMA Solar,sma.de
Energy,SolarEdge,solaredge.com
Energy,Sunrun,sunrun.com
Energy,Vestas,vestas.com
Government,Airforce,af.mil
Government,Argonne,anl.gov
Government,Army,army.mil
Government,CEA,cea.fr
Government,CEA-Leti,leti-cea.com
Government,Coast Guard,uscg.mil
Government,DARPA,darpa.mil
Government,DIU,diu.mil
Government,DLA,dla.mil
Government,DoD,defense.gov
Government,DOE,energy.gov
Government,IARPA,iarpa.gov
Government,IMEC,imec-int.com
Government,IMEC,imec.be
Government,INRIA,inria.fr
Government,LANL,lanl.gov
Government,LBL,lbl.gov
Government,LLNL,llnl.gov
Government,Marines,marines.mil
Government,MDA,mda.mil
Government,NASA,nasa.gov
Government,Navy,navy.mil
Government,NIST,nist.gov
Government,NSA,nsa.gov
Government,NSF,nsf.gov
Government,ORNL,ornl.gov
Government,PNNL,pnnl.gov
Government,Sandia,sandia.gov
Government,Space Force,spaceforce.mil
Government,SRC,src.org
Hyperscalers,Amazon,amazon.com
Hyperscalers,Apple,apple.com
Hyperscalers,Google,google.com
Hyperscalers,IBM,ibm.com
Hyperscalers,Meta,meta.com
Hyperscalers,Microsoft,microsoft.com
Hyperscalers,Oracle,oracle.com
Industrial,ABB,abb.com
Industrial,Acuity Brands,acuitybrands.com
Industrial,Axis Communications,axis.com
Industrial,Balluff,balluff.com
Industrial,Banner Engineering,bannerengineering.com
Industrial,Basler,baslerweb.com
Industrial,Beckhoff Automation,beckhoff.com
Industrial,Cognex,cognex.com
Industrial,Dahua Technology,dahuatech.com
Industrial,Danaher,danaher.com
Industrial,Datalogic,datalogic.com
Industrial,Eaton,eaton.com
Industrial,Emerson,emerson.com
Industrial,Fanuc,fanuc.co.jp
Industrial,Festo,festo.com
Industrial,GE,ge.com
Industrial,Hanwha Vision,hanwhavision.com
Industrial,Hikvision,hikvision.com
Industrial,Hitachi,hitachi.com
Industrial,ifm electronic,ifm.com
Industrial,Keyence,keyence.com
Industrial,Kuka,kuka.com
Industrial,Lumileds,lumileds.com
Industrial,Motorola Solutions,motorolasolutions.com
Industrial,Nichia,nichia.co.jp
Industrial,Omron,omron.com
Industrial,Parker,parker.com
Industrial,Particle,particle.io
Industrial,Pepperl+Fuchs,pepperl-fuchs.com
Industrial,Rockwell Automation,rockwellautomation.com
Industrial,Samsara,samsara.com
Industrial,Schneider Electric,schneider-electric.com
Industrial,SICK,sick.com
Industrial,Signify,signify.com
Industrial,Teledyne,teledyne.com
Industrial,Telit Cinterion,telit.com
Industrial,Turck,turck.com
Industrial,Verkada,verkada.com
Industrial,Yaskawa,yaskawa.com
Industrial,Zebra Technologies,zebra.com
Medical Devices,Abbott,abbott.com
Medical Devices,Baxter,baxter.com
Medical Devices,Boston Scientific,bostonscientific.com
Medical Devices,Dexcom,dexcom.com
Medical Devices,GE Healthcare,gehealthcare.com
Medical Devices,Intuitive,intuitive.com
Medical Devices,Medtronic,medtronic.com
Medical Devices,Philips,philips.com
Medical Devices,Stryker,stryker.com
Networking & Telecom,Adtran,adtran.com
Networking & Telecom,Arista,arista.com
Networking & Telecom,Calix,calix.com
Networking & Telecom,Ciena,ciena.com
Networking & Telecom,Cisco,cisco.com
Networking & Telecom,Commscope,commscope.com
Networking & Telecom,Ericsson,ericsson.com
Networking & Telecom,Fortinet,fortinet.com
Networking & Telecom,Huawei,huawei.com
Networking & Telecom,Infinera,infinera.com
Networking & Telecom,Juniper,juniper.net
Networking & Telecom,Nokia,nokia.com
Networking & Telecom,Palo Alto Networks,paloaltonetworks.com
Networking & Telecom,ZTE,zte.com.cn
Semiconductor Devices,Achronix,achronix.com
Semiconductor Devices,Advanced Micro Devices,amd.com
Semiconductor Devices,Allegro Microsystems,allegromicro.com
Semiconductor Devices,Altera,altera.com
Semiconductor Devices,Ambarella,ambarella.com
Semiconductor Devices,Analog Devices,analog.com
Semiconductor Devices,Broadcom,broadcom.com
Semiconductor Devices,Cerebras,cerebras.net
Semiconductor Devices,Cirrus,cirrus.com
Semiconductor Devices,Coherent,coherent.com
Semiconductor Devices,Diodes,diodes.com
Semiconductor Devices,Efinix,efinixinc.com
Semiconductor Devices,Epson,epson.com
Semiconductor Devices,Fujitsu,fujitsu.com
Semiconductor Devices,GigaDevice,gigadevice.com
Semiconductor Devices,Groq,groq.com
Semiconductor Devices,Himax,himax.com
Semiconductor Devices,Holtek,holtek.com
Semiconductor Devices,Infineon,infineon.com
Semiconductor Devices,Intel,intel.com
Semiconductor Devices,Issi,issi.com
Semiconductor Devices,Kingston,kingston.com
Semiconductor Devices,Kioxia,kioxia.com
Semiconductor Devices,Lattice Semiconductor Devices,latticesemi.com
Semiconductor Devices,Macom,macom.com
Semiconductor Devices,Macronix,macronix.com
Semiconductor Devices,Marvell,marvell.com
Semiconductor Devices,MaxLinear,maxlinear.com
Semiconductor Devices,Mediatek,mediatek.com
Semiconductor Devices,Melexis,melexis.com
Semiconductor Devices,Microchip,microchip.com
Semiconductor Devices,Micron,micron.com
Semiconductor Devices,Mitsubishi Electric,mitsubishielectric.com
Semiconductor Devices,Mobileye,mobileye.com
Semiconductor Devices,Monolithic Power,monolithicpower.com
Semiconductor Devices,Nanya,nanya.com
Semiconductor Devices,Navitas,navitas.com
Semiconductor Devices,Nexperia,nexperia.com
Semiconductor Devices,Nordicsemi,nordicsemi.com
Semiconductor Devices,Novatek,novatek.com.tw
Semiconductor Devices,Nuvoton,nuvoton.com
Semiconductor Devices,Nvidia,nvidia.com
Semiconductor Devices,NXP,nxp.com
Semiconductor Devices,OmniVision,ovt.com
Semiconductor Devices,Onsemi,onsemi.com
Semiconductor Devices,Panasonic,panasonic.com
Semiconductor Devices,Phison,phison.com
Semiconductor Devices,Power,power.com
Semiconductor Devices,Powerchip,powerchip.com
Semiconductor Devices,Qorvo,qorvo.com
Semiconductor Devices,Qualcomm,qualcomm.com
Semiconductor Devices,Quicklogic,quicklogic.com
Semiconductor Devices,Realtek,realtek.com
Semiconductor Devices,Renesas,renesas.com
Semiconductor Devices,Rohm,rohm.com
Semiconductor Devices,Samsung Electronics,samsung.com
Semiconductor Devices,Sandisk,sandisk.com
Semiconductor Devices,Seagate,seagate.com
Semiconductor Devices,Semtech,semtech.com
Semiconductor Devices,SiFive,sifive.com
Semiconductor Devices,Silicon Laboratories,silabs.com
Semiconductor Devices,Silicon Motion,siliconmotion.com
Semiconductor Devices,Sitime,sitime.com
Semiconductor Devices,SK Hynix,skhynix.com
Semiconductor Devices,Skyworks,skyworks.com
Semiconductor Devices,Sony,sony.com
Semiconductor Devices,ST Microelectronics,st.com
Semiconductor Devices,Synaptics,synaptics.com
Semiconductor Devices,Tenstorrent,tenstorrent.com
Semiconductor Devices,Texas Instruments,ti.com
Semiconductor Devices,Toshiba,toshiba.com
Semiconductor Devices,Vicor,vicor.com
Semiconductor Devices,Vishay,vishay.com
Semiconductor Devices,Western Digital,westerndigital.com
Semiconductor Devices,Winbond,winbond.com
Semiconductor EDA & IP,Aldec,aldec.com
Semiconductor EDA & IP,Altium,altium.com
Semiconductor EDA & IP,Andes Technology,andestech.com
Semiconductor EDA & IP,Ansys,ansys.com
Semiconductor EDA & IP,ARM,arm.com
Semiconductor EDA & IP,Cadence,cadence.com
Semiconductor EDA & IP,CEVA,ceva-ip.com
Semiconductor EDA & IP,Credo,credosemi.com
Semiconductor EDA & IP,Dolphin-design,dolphin-design.com
Semiconductor EDA & IP,Imagination Technologies,imaginationtech.com
Semiconductor EDA & IP,Rambus,rambus.com
Semiconductor EDA & IP,Siemens EDA,siemens.com
Semiconductor EDA & IP,Silvaco,silvaco.com
Semiconductor EDA & IP,Synopsys,synopsys.com
Semiconductor EDA & IP,Zuken,zuken.com
Semiconductor Equipment,Advantest,advantest.com
Semiconductor Equipment,Aehr,aehr.com
Semiconductor Equipment,Appliedmaterials,appliedmaterials.com
Semiconductor Equipment,ASM International,asm.com
